chapter_number,title,defensibility_score,total_claims,verified,partial,unverified
1,Introduction,yellow,128,101,10,0
2,Systematic Literature Review,yellow,417,398,15,0
3,Paper 1: NSD-ISS Stage Classification,yellow,323,271,8,0
4,Paper 2: GIMIN Imputation,yellow,379,354,17,0
5,Paper 3: Graph-Informed Digital Twin (Transition Timing),yellow,133,122,11,0
6,Paper 4: Conformalized Survival Analysis,yellow,244,235,9,0
7,Paper 5: Temporal Validation,yellow,139,129,10,0
8,Paper 6: Unified Clinical Decision Support,yellow,119,113,5,0
9,Paper 7: Per-Patient Bayesian Calibration of Coupled ODE,yellow,156,151,4,0
10,Paper 8a: Spatial Propagation Identifiability,yellow,135,131,2,0
11,Paper 8b: Regional DaT-SPECT Decline Rates,yellow,141,137,2,0
12,Paper 9: Three-Pathway PK-PD Analysis,yellow,122,113,3,0
13,Paper 10: Bidirectional-Ready Mechanistic Twin + NASEM Audit,yellow,129,127,0,0
14,"Discussion (Unified, Papers 1-10)",yellow,72,72,0,0
15,Conclusion + Future Work Catalog,yellow,30,28,0,0
99,Appendix D: Mechanistic Digital Twin Mathematical Reference,yellow,257,228,15,0
