iteration,mu_logkn,mu_logatox,sigma_logkn,sigma_logatox,median_ess,median_pct_yr,median_cor_ka,median_kn_sd,n_valid
0,-12.202322086752176,-10.193051246273775,2.3288478235317194,2.602961435331796,132.56641104058332,0.03876002692691505,-0.00043156661624576414,0.20164676440866605,50
1,-13.08972240123667,-9.565749535999133,1.9739823490304893,3.083892635893441,6018.4860194678195,0.05448380330034808,-0.0008615622700003363,0.28980071111453065,50
2,-13.308222507599444,-8.781038638544922,1.5976525424285204,3.4356616090015177,2221.12691297163,0.10477525547915034,-0.0023728630521458534,0.07404838764203286,50
3,-13.409567215130494,-8.020735122163277,1.2156407618461518,3.4807632527068355,789.0893131292619,0.2244611859787915,-0.0038083199124664905,0.021286384598464728,50
4,-13.444934513021547,-7.348706360862226,0.9903418786373255,3.3145158511260893,1023.1606872381901,0.44035476671126506,-0.008500389500907621,0.021903547222912555,50
5,-13.473996446713347,-6.842209877332801,0.7875256993002375,3.056732881786523,1230.6223755924152,0.8380982796465986,-0.00956303976872035,0.022079987133020035,50
6,-13.542454084027083,-6.473294877689957,0.47360162824843255,2.7885107805100136,1520.212513643924,1.328211200606888,-0.01725596720159039,0.02201111235232798,50
7,-13.555907238670914,-6.161105300534781,0.3140923367523654,2.5009214085277045,2356.559742981385,1.8457474429203757,-0.008688242472733485,0.021654628152385537,50
8,-13.556388675752544,-5.912633875645161,0.2466129608155687,2.234144574280929,3314.9825743771935,2.3873455711333094,-0.005802506807587189,0.021892684180085834,50
9,-13.555176189419893,-5.698920309917738,0.22224629089906794,1.9999417514381408,3870.1080655864816,3.062534017145274,-0.009508810303753489,0.02172432892837113,50
10,-13.554556973303743,-5.522859575936485,0.21404239764861074,1.7855675758266598,4158.108629565582,3.788582345801866,-0.01289551720765653,0.02182009784390162,50
11,-13.554364840715492,-5.450148941443883,0.21265690545506138,1.6978264782853474,4230.183446087296,4.4783626525641775,-0.017072334206726197,0.02177365046645893,50
12,-13.554376560550377,-5.407699212160108,0.21206456214502845,1.644037467538335,4249.86569005244,4.809430059769992,-0.0078683375985183,0.02171201692376437,50
13,-13.55442158181506,-5.377365887509661,0.21174134255267266,1.6064012658954765,4165.321946566519,5.024666225830792,-0.011898084842054792,0.021655406882252995,50
14,-13.55443984958421,-5.35424226557042,0.2115137455016893,1.5781638715670032,4213.5990710302285,5.184597194919732,-0.012898169080741172,0.0218269724285031,50
15,-13.554440705991821,-5.336388817147327,0.21136725227533595,1.5552783135404111,4237.706983963975,5.34250917080511,-0.011420282045230231,0.02171293079158526,50
16,-13.55446722833751,-5.321618337515903,0.21124523061254197,1.5364360020101955,4279.86884940848,5.353377469289471,-0.014307372746669253,0.021810983922844057,50
17,-13.554501579757815,-5.308969977561172,0.211149966651879,1.5203564583067257,4229.26906839211,5.449040782988963,-0.015828908806628794,0.02181513122090754,50
18,-13.554517506362005,-5.297731283718798,0.2110735633286211,1.5063627476845751,4209.675637263396,5.525429150791816,-0.01406808284743748,0.02197028482535486,50
19,-13.554528933818874,-5.28786878588076,0.21099405940232627,1.493907379810639,4239.083175891466,5.571884804358285,-0.021021472760723504,0.021791337550452514,50
